AFP_ENG_20090531.0001	0	58	Chile swine flu cases jump to 276	NNP VBP NN NNS VBP TO CD	B-NP B-VP B-NP I-NP B-VP B-PP O	0 6 12 16 22 27 30	amod(flu_NN_2_12, swine_JJ_1_6); nn(cases_NNS_3_16, Chile_NNP_0_0); nn(cases_NNS_3_16, flu_NN_2_12); nsubj(jump_VBP_4_22, cases_NNS_3_16); prep(jump_VBP_4_22, to_IN_5_27); pobj(to_IN_5_27, 276_CD_6_30)
AFP_ENG_20090531.0002	18	2314	" I 'm just going to take time off from basketball and not think about contracts or the game , period , and relax with my family . "	`` PRP VBP RB VBG TO VB NN RP IN NN CC RB VB IN NNS CC DT NN , NN , CC VB IN PRP$ NN . ''	O B-NP B-VP I-VP I-VP I-VP I-VP B-NP B-VP B-PP B-NP O B-VP I-VP B-PP B-NP O B-NP I-NP O B-NP O O B-VP B-PP B-NP I-NP O O	0 1 2 5 10 16 19 24 29 33 38 49 53 57 63 69 79 82 86 90 92 98 100 104 110 115 118 124 125	nsubj(going_VBG_4_10, I_PRP_1_1); aux(going_VBG_4_10, 'm_VBP_2_2); advmod(going_VBG_4_10, just_RB_3_5); xcomp(going_VBG_4_10, take_VB_6_19); punct(going_VBG_4_10, ._._27_124); punct(going_VBG_4_10, "_''_28_125); aux(take_VB_6_19, to_TO_5_16); dobj(take_VB_6_19, time_NN_7_24); prt(take_VB_6_19, off_RP_8_29); prep(take_VB_6_19, from_IN_9_33); cc(take_VB_6_19, and_CC_11_49); conj(take_VB_6_19, think_VB_13_57); pobj(from_IN_9_33, basketball_NN_10_38); punct(think_VB_13_57, "_``_0_0); neg(think_VB_13_57, not_RB_12_53); prep(think_VB_13_57, about_IN_14_63); cc(think_VB_13_57, and_CC_22_100); conj(think_VB_13_57, relax_VB_23_104); pobj(about_IN_14_63, contracts_NNS_15_69); cc(contracts_NNS_15_69, or_CC_16_79); conj(contracts_NNS_15_69, game_NN_18_86); det(game_NN_18_86, the_DT_17_82); punct(game_NN_18_86, ,_,_19_90); conj(game_NN_18_86, period_NN_20_92); punct(period_NN_20_92, ,_,_21_98); prep(relax_VB_23_104, with_IN_24_110); pobj(with_IN_24_110, family_NN_26_118); poss(family_NN_26_118, my_PRP$_25_115)
AFP_ENG_20090531.0002	19	2450	James defended his actions in Orlando on Saturday , when he strode off the court - to a smattering of taunts from Magic fans - without congratulating his opponents .	NNP VBD PRP$ NNS IN NNP IN NNP , WRB PRP VBD RP DT NN : TO DT NN IN NNS IN NNP NNS : IN VBG PRP$ NNS .	B-NP B-VP B-NP I-NP B-PP B-NP B-PP B-NP O B-ADVP B-NP B-VP B-ADVP B-NP I-NP O B-PP B-NP I-NP B-PP B-NP B-PP B-NP I-NP O B-PP B-VP B-NP I-NP O	0 6 15 19 27 30 38 41 49 51 56 59 66 70 74 80 82 85 87 98 101 108 113 119 124 126 134 149 153 162	nsubj(defended_VBD_1_6, James_NNP_0_0); dobj(defended_VBD_1_6, actions_NNS_3_19); punct(defended_VBD_1_6, ,_,_8_49); advcl(defended_VBD_1_6, strode_VBD_11_59); punct(defended_VBD_1_6, -_:_15_80); punct(defended_VBD_1_6, -_,_24_124); punct(defended_VBD_1_6, ._._29_162); poss(actions_NNS_3_19, his_PRP$_2_15); prep(actions_NNS_3_19, in_IN_4_27); prep(actions_NNS_3_19, on_IN_6_38); pobj(in_IN_4_27, Orlando_NNP_5_30); pobj(on_IN_6_38, Saturday_NNP_7_41); advmod(strode_VBD_11_59, when_WRB_9_51); nsubj(strode_VBD_11_59, he_PRP_10_56); prt(strode_VBD_11_59, off_RP_12_66); dobj(strode_VBD_11_59, court_NN_14_74); prep(strode_VBD_11_59, to_IN_16_82); prep(strode_VBD_11_59, without_IN_25_126); det(court_NN_14_74, the_DT_13_70); pobj(to_IN_16_82, smattering_NN_18_87); det(smattering_NN_18_87, a_DT_17_85); prep(smattering_NN_18_87, of_IN_19_98); pobj(of_IN_19_98, taunts_NNS_20_101); prep(taunts_NNS_20_101, from_IN_21_108); pobj(from_IN_21_108, fans_NNS_23_119); nn(fans_NNS_23_119, Magic_NNP_22_113); pcomp(without_IN_25_126, congratulating_VBG_26_134); dobj(congratulating_VBG_26_134, opponents_NNS_28_153); poss(opponents_NNS_28_153, his_PRP$_27_149)
AFP_ENG_20090531.0002	20	2623	" I just did n't have much to say , " said James , who said he had since e-mailed Orlando star Dwight Howard .	`` PRP RB VBD RB VB JJ TO VB , '' VBD NNP , WP VBD PRP VBD IN VBN NNP NN NN NNP .	O B-NP B-ADVP B-VP I-VP I-VP B-ADJP B-VP I-VP O O B-VP B-NP O B-NP B-VP B-NP B-VP B-PP B-NP I-NP I-NP I-NP I-NP O	0 1 3 8 11 15 20 25 28 31 32 34 39 44 46 50 55 58 62 68 77 85 90 97 103	punct(have_VB_5_15, "_``_0_0); nsubj(have_VB_5_15, I_PRP_1_1); advmod(have_VB_5_15, just_RB_2_3); aux(have_VB_5_15, did_VBD_3_8); neg(have_VB_5_15, n't_RB_4_11); dobj(have_VB_5_15, much_JJ_6_20); infmod(much_JJ_6_20, say_VB_8_28); aux(say_VB_8_28, to_TO_7_25); ccomp(said_VBD_11_34, have_VB_5_15); punct(said_VBD_11_34, ,_,_9_31); punct(said_VBD_11_34, "_''_10_32); nsubj(said_VBD_11_34, James_NNP_12_39); punct(said_VBD_11_34, ._._24_103); punct(James_NNP_12_39, ,_,_13_44); rcmod(James_NNP_12_39, said_VBD_15_50); nsubj(said_VBD_15_50, who_WP_14_46); ccomp(said_VBD_15_50, e-mailed_VBN_19_68); nsubj(e-mailed_VBN_19_68, he_PRP_16_55); aux(e-mailed_VBN_19_68, had_VBD_17_58); advmod(e-mailed_VBN_19_68, since_IN_18_62); dobj(e-mailed_VBN_19_68, Howard_NNP_23_97); nn(star_NN_21_85, Orlando_NNP_20_77); nn(Howard_NNP_23_97, star_NN_21_85); nn(Howard_NNP_23_97, Dwight_NNP_22_90)
AFP_ENG_20090531.0002	21	2728	" One thing about me you 've got to understand - it is hard for me to congratulate somebody after just losing to him .	`` CD NN IN PRP PRP VBP VBD TO VB : PRP VBZ JJ IN PRP TO VB NN IN RB VBG TO PRP .	O B-NP I-NP B-NP B-NP B-NP B-VP I-VP B-VP I-VP O B-NP B-VP B-ADJP B-SBAR B-NP B-VP I-VP B-NP B-PP B-VP I-VP B-PP B-NP O	0 1 5 11 17 20 23 27 31 34 45 47 50 53 58 62 65 68 81 90 96 101 108 111 114	num(thing_NN_2_5, One_CD_1_1); prep(thing_NN_2_5, about_IN_3_11); rcmod(thing_NN_2_5, got_VBN_7_27); pobj(about_IN_3_11, me_PRP_4_17); nsubj(got_VBN_7_27, you_PRP_5_20); aux(got_VBN_7_27, 've_VBP_6_23); xcomp(got_VBN_7_27, understand_VB_9_34); aux(understand_VB_9_34, to_TO_8_31); punct(is_VBZ_12_50, "_``_0_0); nsubj(is_VBZ_12_50, thing_NN_2_5); punct(is_VBZ_12_50, -_:_10_45); nsubj(is_VBZ_12_50, it_PRP_11_47); acomp(is_VBZ_12_50, hard_JJ_13_53); advcl(is_VBZ_12_50, congratulate_VB_17_68); punct(is_VBZ_12_50, ._._24_114); mark(congratulate_VB_17_68, for_IN_14_58); nsubj(congratulate_VB_17_68, me_PRP_15_62); aux(congratulate_VB_17_68, to_TO_16_65); dobj(congratulate_VB_17_68, somebody_NN_18_81); prep(congratulate_VB_17_68, after_IN_19_90); pcomp(after_IN_19_90, losing_VBG_21_101); advmod(losing_VBG_21_101, just_RB_20_96); prep(losing_VBG_21_101, to_IN_22_108); pobj(to_IN_22_108, him_PRP_23_111)
AFP_ENG_20090531.0002	22	2853	" I 'm a winner .	`` PRP VBP DT NN .	O B-NP B-VP B-NP I-NP O	0 1 2 5 7 13	punct('m_VBP_2_2, "_``_0_0); nsubj('m_VBP_2_2, I_PRP_1_1); attr('m_VBP_2_2, winner_NN_4_7); punct('m_VBP_2_2, ._._5_13); det(winner_NN_4_7, a_DT_3_5)
AFP_ENG_20090531.0002	23	2868	That 's not being a poor sport or anything like that .	DT VBZ RB VBG DT JJ NN CC NN IN DT .	B-NP B-VP I-VP I-VP B-NP I-NP I-NP O B-NP B-PP B-NP O	0 4 7 11 17 19 24 30 33 42 47 51	xcomp('s_VBZ_1_4, being_VBG_3_11); punct('s_VBZ_1_4, ._._11_51); nsubj(being_VBG_3_11, That_DT_0_0); neg(being_VBG_3_11, not_RB_2_7); attr(being_VBG_3_11, sport_NN_6_24); det(sport_NN_6_24, a_DT_4_17); amod(sport_NN_6_24, poor_JJ_5_19); cc(sport_NN_6_24, or_CC_7_30); conj(sport_NN_6_24, anything_NN_8_33); prep(anything_NN_8_33, like_IN_9_42); pobj(like_IN_9_42, that_DT_10_47)
AFP_ENG_20090531.0002	24	2921	If somebody beats you up , you are not going to congratulate them ( for ) beating you up .	IN NN VBZ PRP RP , PRP VBP RB VBG TO VB PRP -LRB- IN -RRB- VBG PRP RB .	B-SBAR B-NP B-VP B-NP B-VP O B-NP B-VP I-VP I-VP I-VP I-VP B-NP O B-PP B-NP B-VP B-NP B-PRT O	0 3 12 18 22 24 26 30 34 38 44 47 60 65 66 69 71 79 83 85	mark(beats_VBZ_2_12, If_IN_0_0); nsubj(beats_VBZ_2_12, somebody_NN_1_3); dobj(beats_VBZ_2_12, you_PRP_3_18); prt(beats_VBZ_2_12, up_RP_4_22); advcl(going_VBG_9_38, beats_VBZ_2_12); punct(going_VBG_9_38, ,_,_5_24); nsubj(going_VBG_9_38, you_PRP_6_26); aux(going_VBG_9_38, are_VBP_7_30); neg(going_VBG_9_38, not_RB_8_34); xcomp(going_VBG_9_38, congratulate_VB_11_47); punct(going_VBG_9_38, ._._19_85); aux(congratulate_VB_11_47, to_TO_10_44); dobj(congratulate_VB_11_47, them_PRP_12_60); prep(congratulate_VB_11_47, for_IN_14_66); punct(congratulate_VB_11_47, _-RRB-_15_69); punct(them_PRP_12_60, _-LRB-_13_65); pcomp(for_IN_14_66, beating_VBG_16_71); dobj(beating_VBG_16_71, you_PRP_17_79); prt(beating_VBG_16_71, up_RP_18_83)
AFP_ENG_20090531.0002	25	3008	That does n't make sense to me . "	DT VBZ RB VB NN TO PRP . ''	B-NP B-VP I-VP I-VP B-NP B-PP B-NP O O	0 5 9 13 18 24 27 29 30	nsubj(make_VB_3_13, That_DT_0_0); aux(make_VB_3_13, does_VBZ_1_5); neg(make_VB_3_13, n't_RB_2_9); dobj(make_VB_3_13, sense_NN_4_18); prep(make_VB_3_13, to_IN_5_24); punct(make_VB_3_13, ._._7_29); punct(make_VB_3_13, "_''_8_30); pobj(to_IN_5_24, me_PRP_6_27)
AFP_ENG_20090531.0003	0	58	US pleased with new talks with Cuba : Clinton	PRP VBD IN JJ NNS IN NNP : NNP	B-NP B-VP B-PP B-NP I-NP B-PP B-NP O B-NP	0 3 11 16 20 26 31 35 37	nsubj(pleased_VBD_1_3, US_NNP_0_0); prep(pleased_VBD_1_3, with_IN_2_11); pobj(with_IN_2_11, talks_NNS_4_20); amod(talks_NNS_4_20, new_JJ_3_16); prep(talks_NNS_4_20, with_IN_5_26); pobj(with_IN_5_26, Cuba_NNP_6_31); ccomp(Clinton_NNP_8_37, pleased_VBD_1_3); punct(Clinton_NNP_8_37, :_:_7_35)
AFP_ENG_20090531.0003	1	182	US Secretary of State Hillary Clinton said here Sunday the United States is pleased that Cuba has agreed to resume talks on migration issues and to start discussions on direct mail service .	PRP NNP IN NNP NNP NNP VBD RB NNP DT NNP NNPS VBZ VBN IN NNP VBZ VBN TO VB NNS IN NN NNS CC TO VB NNS IN JJ NN NN .	B-NP O B-PP B-NP I-NP I-NP B-VP B-ADVP B-NP B-NP I-NP I-NP B-VP I-VP B-SBAR B-NP B-VP I-VP I-VP I-VP B-NP B-PP B-NP I-NP O B-VP I-VP B-NP B-PP B-NP I-NP I-NP O	0 3 13 16 22 30 38 43 48 55 59 66 73 76 84 89 94 98 105 108 115 121 124 134 141 145 148 154 166 169 176 181 188	nn(Secretary_NNP_1_3, US_NNP_0_0); prep(Secretary_NNP_1_3, of_IN_2_13); pobj(of_IN_2_13, State_NNP_3_16); nn(Clinton_NNP_5_30, Secretary_NNP_1_3); nn(Clinton_NNP_5_30, Hillary_NNP_4_22); nsubj(said_VBD_6_38, Clinton_NNP_5_30); advmod(said_VBD_6_38, here_RB_7_43); npadvmod(said_VBD_6_38, Sunday_NNP_8_48); ccomp(said_VBD_6_38, is_VBZ_12_73); punct(said_VBD_6_38, ._._32_188); det(States_NNP_11_66, the_DT_9_55); nn(States_NNP_11_66, United_NNP_10_59); nsubj(is_VBZ_12_73, States_NNP_11_66); acomp(is_VBZ_12_73, pleased_JJ_13_76); ccomp(pleased_JJ_13_76, agreed_VBN_17_98); complm(agreed_VBN_17_98, that_IN_14_84); nsubj(agreed_VBN_17_98, Cuba_NNP_15_89); aux(agreed_VBN_17_98, has_VBZ_16_94); xcomp(agreed_VBN_17_98, resume_VB_19_108); aux(resume_VB_19_108, to_TO_18_105); dobj(resume_VB_19_108, talks_NNS_20_115); cc(resume_VB_19_108, and_CC_24_141); conj(resume_VB_19_108, start_VB_26_148); prep(talks_NNS_20_115, on_IN_21_121); pobj(on_IN_21_121, issues_NNS_23_134); nn(issues_NNS_23_134, migration_NN_22_124); aux(start_VB_26_148, to_TO_25_145); dobj(start_VB_26_148, discussions_NNS_27_154); prep(discussions_NNS_27_154, on_IN_28_166); pobj(on_IN_28_166, service_NN_31_181); amod(mail_NN_30_176, direct_JJ_29_169); nn(service_NN_31_181, mail_NN_30_176)
AFP_ENG_20090531.0003	2	381	" We 're very pleased that the Cuban government has agreed to talks on migration and direct mail links , " Clinton told reporters after US officials announced the new discussions that continue a US-Cuban thaw in ties .	`` PRP VBP RB VBN IN DT JJ NN VBZ VBN TO NNS IN NN CC JJ NN NNS , '' NNP VBD NNS IN PRP NNS VBD DT JJ NNS IN VBP DT JJ NN IN NNS .	O B-NP B-VP I-VP I-VP B-PP B-NP I-NP I-NP B-VP I-VP B-PP B-NP B-PP B-NP O B-NP I-NP I-NP O O B-NP B-VP B-NP B-PP B-NP I-NP B-VP B-NP I-NP I-NP B-PP B-VP B-NP I-NP I-NP B-PP B-NP O	0 1 3 7 12 20 25 29 35 46 50 57 60 66 69 79 83 90 95 100 101 103 111 116 126 132 135 145 155 159 163 175 180 189 191 200 205 208 212	punct('re_VBP_2_3, "_``_0_0); nsubj('re_VBP_2_3, We_PRP_1_1); acomp('re_VBP_2_3, pleased_JJ_4_12); advmod(pleased_JJ_4_12, very_RB_3_7); ccomp(pleased_JJ_4_12, agreed_VBN_10_50); det(government_NN_8_35, the_DT_6_25); amod(government_NN_8_35, Cuban_JJ_7_29); complm(agreed_VBN_10_50, that_IN_5_20); nsubj(agreed_VBN_10_50, government_NN_8_35); aux(agreed_VBN_10_50, has_VBZ_9_46); prep(agreed_VBN_10_50, to_IN_11_57); pobj(to_IN_11_57, talks_NNS_12_60); prep(talks_NNS_12_60, on_IN_13_66); pobj(on_IN_13_66, migration_NN_14_69); cc(migration_NN_14_69, and_CC_15_79); conj(migration_NN_14_69, links_NNS_18_95); amod(links_NNS_18_95, direct_JJ_16_83); nn(links_NNS_18_95, mail_NN_17_90); ccomp(told_VBD_22_111, 're_VBP_2_3); punct(told_VBD_22_111, ,_,_19_100); punct(told_VBD_22_111, "_''_20_101); nsubj(told_VBD_22_111, Clinton_NNP_21_103); dobj(told_VBD_22_111, reporters_NNS_23_116); advcl(told_VBD_22_111, announced_VBD_27_145); punct(told_VBD_22_111, ._._40_212); nn(officials_NNS_26_135, US_NNP_25_132); mark(announced_VBD_27_145, after_IN_24_126); nsubj(announced_VBD_27_145, officials_NNS_26_135); dobj(announced_VBD_27_145, discussions_NNS_30_163); det(discussions_NNS_30_163, the_DT_28_155); amod(discussions_NNS_30_163, new_JJ_29_159); rcmod(discussions_NNS_30_163, continue_VBP_32_180); nsubj(continue_VBP_32_180, that_WDT_31_175); dobj(continue_VBP_32_180, thaw_NN_37_200); prep(continue_VBP_32_180, in_IN_38_205); hmod(Cuban_NNP_36_194, US_NNP_34_191); hyph(Cuban_NNP_36_194, -_HYPH_35_193); det(thaw_NN_37_200, a_DT_33_189); nn(thaw_NN_37_200, Cuban_NNP_36_194); pobj(in_IN_38_205, ties_NNS_39_208)
AFP_ENG_20090531.0004	0	58	URGENT ¥¥ ¥ US pleased with migration , mail service talks with Cuba : Clinton	NNP VBD VBN PRP VBN IN NN , NN NN NNS IN NNP : NNP	B-NP B-VP I-VP B-NP B-VP B-PP B-NP O B-NP I-NP I-NP B-PP B-NP O B-NP	0 7 9 11 14 22 27 36 38 43 51 57 62 66 68	dobj(pleased_VBD_3_14, URGENT_JJ_0_0); nsubj(pleased_VBD_3_14, US_NNP_2_11); prep(pleased_VBD_3_14, with_IN_4_22); pobj(with_IN_4_22, migration_NN_5_27); punct(with_IN_4_22, ,_,_6_36); nn(talks_NNS_9_51, mail_NN_7_38); nn(talks_NNS_9_51, service_NN_8_43); prep(talks_NNS_9_51, with_IN_10_57); pobj(with_IN_10_57, Cuba_NNP_11_62); punct(Cuba_NNP_11_62, _-LRB-_1_7); ccomp(Clinton_NNP_13_68, pleased_VBD_3_14); dep(Clinton_NNP_13_68, talks_NNS_9_51); punct(Clinton_NNP_13_68, :_:_12_66)
AFP_ENG_20090531.0004	1	213	Secretary of State Hillary Clinton said here Sunday the United States is pleased that Cuba has agreed to resume talks on migration issues and to start discussions on direct mail service .	NNP IN NNP NNP NNP VBD RB NNP DT NNP NNPS VBZ VBN IN NNP VBZ VBN TO VB NNS IN NN NNS CC TO VB NNS IN JJ NN NN .	B-NP B-PP B-NP I-NP I-NP B-VP B-ADVP B-NP B-NP I-NP I-NP B-VP I-VP B-SBAR B-NP B-VP I-VP I-VP I-VP B-NP B-PP B-NP I-NP O B-VP I-VP B-NP B-PP B-NP I-NP I-NP O	0 10 13 19 27 35 40 45 52 56 63 70 73 81 86 91 95 102 105 112 118 121 131 138 142 145 151 163 166 173 178 185	prep(Secretary_NNP_0_0, of_IN_1_10); pobj(of_IN_1_10, State_NNP_2_13); nn(Clinton_NNP_4_27, Secretary_NNP_0_0); nn(Clinton_NNP_4_27, Hillary_NNP_3_19); nsubj(said_VBD_5_35, Clinton_NNP_4_27); advmod(said_VBD_5_35, here_RB_6_40); npadvmod(said_VBD_5_35, Sunday_NNP_7_45); ccomp(said_VBD_5_35, is_VBZ_11_70); punct(said_VBD_5_35, ._._31_185); det(States_NNP_10_63, the_DT_8_52); nn(States_NNP_10_63, United_NNP_9_56); nsubj(is_VBZ_11_70, States_NNP_10_63); acomp(is_VBZ_11_70, pleased_JJ_12_73); ccomp(pleased_JJ_12_73, agreed_VBN_16_95); complm(agreed_VBN_16_95, that_IN_13_81); nsubj(agreed_VBN_16_95, Cuba_NNP_14_86); aux(agreed_VBN_16_95, has_VBZ_15_91); xcomp(agreed_VBN_16_95, resume_VB_18_105); aux(resume_VB_18_105, to_TO_17_102); dobj(resume_VB_18_105, talks_NNS_19_112); cc(resume_VB_18_105, and_CC_23_138); conj(resume_VB_18_105, start_VB_25_145); prep(talks_NNS_19_112, on_IN_20_118); pobj(on_IN_20_118, issues_NNS_22_131); nn(issues_NNS_22_131, migration_NN_21_121); aux(start_VB_25_145, to_TO_24_142); dobj(start_VB_25_145, discussions_NNS_26_151); prep(discussions_NNS_26_151, on_IN_27_163); pobj(on_IN_27_163, service_NN_30_178); amod(mail_NN_29_173, direct_JJ_28_166); nn(service_NN_30_178, mail_NN_29_173)
AFP_ENG_20090531.0005	0	58	Business says British politicians distracted by expenses row	NN VBZ JJ NNS VBN IN NNS NN	B-NP B-VP B-NP I-NP B-VP B-PP B-NP I-NP	0 9 14 22 34 45 48 57	appos(Business_NN_0_0, politicians_NNS_3_22); nsubj(says_VBZ_1_9, Business_NN_0_0); amod(politicians_NNS_3_22, British_JJ_2_14); partmod(politicians_NNS_3_22, distracted_VBN_4_34); agent(distracted_VBN_4_34, by_IN_5_45); pobj(by_IN_5_45, row_NN_7_57); nn(row_NN_7_57, expenses_NNS_6_48)
AFP_ENG_20090531.0005	1	192	The row over MPs ' expenses is distracting Britain 's politicians from confronting the serious economic issues facing the country , a prominent business leader said Monday .	DT NN IN NNS POS NNS VBZ VBG NNP POS NNS IN VBG DT JJ JJ NNS VBG DT NN , DT JJ NN NN VBD NNP .	B-NP I-NP B-PP B-NP B-NP I-NP B-VP I-VP B-NP B-NP I-NP B-PP B-VP B-NP I-NP I-NP I-NP B-VP B-NP I-NP O B-NP I-NP I-NP I-NP B-VP B-NP O	0 4 8 13 16 18 27 30 42 49 52 64 69 81 85 93 102 109 116 120 127 129 131 141 150 157 162 168	det(row_NN_1_4, The_DT_0_0); prep(row_NN_1_4, over_IN_2_8); pobj(over_IN_2_8, expenses_NNS_5_18); possessive(MPs_NNP_3_13, '_POS_4_16); poss(expenses_NNS_5_18, MPs_NNP_3_13); nsubj(distracting_VBG_7_30, row_NN_1_4); aux(distracting_VBG_7_30, is_VBZ_6_27); dobj(distracting_VBG_7_30, politicians_NNS_10_52); prep(distracting_VBG_7_30, from_IN_11_64); possessive(Britain_NNP_8_42, 's_POS_9_49); poss(politicians_NNS_10_52, Britain_NNP_8_42); pcomp(from_IN_11_64, confronting_VBG_12_69); dobj(confronting_VBG_12_69, issues_NNS_16_102); det(issues_NNS_16_102, the_DT_13_81); amod(issues_NNS_16_102, serious_JJ_14_85); amod(issues_NNS_16_102, economic_JJ_15_93); partmod(issues_NNS_16_102, facing_VBG_17_109); dobj(facing_VBG_17_109, country_NN_19_120); det(country_NN_19_120, the_DT_18_116); punct(country_NN_19_120, ,_,_20_127); det(leader_NN_24_150, a_DT_21_129); amod(leader_NN_24_150, prominent_JJ_22_131); nn(leader_NN_24_150, business_NN_23_141); ccomp(said_VBD_25_157, distracting_VBG_7_30); nsubj(said_VBD_25_157, leader_NN_24_150); npadvmod(said_VBD_25_157, Monday_NNP_26_162); punct(said_VBD_25_157, ._._27_168)
AFP_ENG_20090531.0005	2	371	Richard Lambert , director-general of the CBI , told the Financial Times that all the main parties should be focusing on their plans to deal with the recession ahead of European and local elections later this week .	NNP NNP , JJ IN DT NNP , VBD DT NNP NNP IN PDT DT JJ NNS MD VB VBG IN PRP$ NNS TO VB IN DT NN RB IN JJ CC JJ NNS RB DT NN .	B-NP I-NP O B-ADJP B-PP B-NP I-NP O B-VP B-NP I-NP I-NP B-PP B-NP I-NP I-NP I-NP B-VP I-VP I-VP B-PP B-NP I-NP B-VP I-VP B-PP B-NP I-NP B-ADVP B-PP B-NP I-NP I-NP I-NP B-ADVP B-NP I-NP O	0 8 15 17 34 37 41 44 46 51 55 65 71 76 80 84 89 97 104 107 116 119 125 131 134 139 144 148 158 164 167 176 180 186 196 202 207 211	nn(Lambert_NNP_1_8, Richard_NNP_0_0); punct(Lambert_NNP_1_8, ,_,_2_15); appos(Lambert_NNP_1_8, general_JJ_5_26); hmod(general_JJ_5_26, director_NN_3_17); hyph(general_JJ_5_26, -_HYPH_4_25); prep(general_JJ_5_26, of_IN_6_34); pobj(of_IN_6_34, CBI_NNP_8_41); det(CBI_NNP_8_41, the_DT_7_37); nsubj(told_VBD_10_46, Lambert_NNP_1_8); punct(told_VBD_10_46, ,_,_9_44); dobj(told_VBD_10_46, Times_NNP_13_65); ccomp(told_VBD_10_46, focusing_VBG_21_107); punct(told_VBD_10_46, ._._39_211); det(Times_NNP_13_65, the_DT_11_51); nn(Times_NNP_13_65, Financial_NNP_12_55); predet(parties_NNS_18_89, all_PDT_15_76); det(parties_NNS_18_89, the_DT_16_80); amod(parties_NNS_18_89, main_JJ_17_84); complm(focusing_VBG_21_107, that_IN_14_71); nsubj(focusing_VBG_21_107, parties_NNS_18_89); aux(focusing_VBG_21_107, should_MD_19_97); aux(focusing_VBG_21_107, be_VB_20_104); prep(focusing_VBG_21_107, on_IN_22_116); pobj(on_IN_22_116, plans_NNS_24_125); poss(plans_NNS_24_125, their_PRP$_23_119); infmod(plans_NNS_24_125, deal_VB_26_134); aux(deal_VB_26_134, to_TO_25_131); prep(deal_VB_26_134, with_IN_27_139); npadvmod(deal_VB_26_134, week_NN_38_207); pobj(with_IN_27_139, recession_NN_29_148); det(recession_NN_29_148, the_DT_28_144); advmod(recession_NN_29_148, ahead_RB_30_158); prep(ahead_RB_30_158, of_IN_31_164); pobj(of_IN_31_164, elections_NNS_35_186); cc(European_JJ_32_167, and_CC_33_176); conj(European_JJ_32_167, local_JJ_34_180); amod(elections_NNS_35_186, European_JJ_32_167); advmod(week_NN_38_207, later_RB_36_196); det(week_NN_38_207, this_DT_37_202)
AFP_ENG_20090531.0005	3	593	" I 've just been talking to business people in Brussels and the sense of bewilderment about what 's happening and what it means for the UK and Europe is palpable , " Lambert told the FT.	`` PRP VBP RB VBN VBG TO NN NNS IN NNP CC DT NN IN NN IN WP POS VBG CC WP PRP VBZ IN DT NNP CC NNP VBZ JJ , '' NNP VBD DT NNP	O B-NP B-VP I-VP I-VP I-VP B-PP B-NP I-NP B-PP B-NP O B-NP I-NP B-PP B-NP B-PP B-NP B-NP I-NP O B-NP B-NP B-VP B-PP B-NP I-NP O B-NP B-VP B-ADJP O O B-NP B-VP B-NP I-NP	0 1 2 6 11 16 24 27 36 43 46 55 59 63 69 72 85 91 95 98 108 112 117 120 126 130 134 137 141 148 151 159 160 162 170 175 179	nsubj(talking_VBG_5_16, I_PRP_1_1); aux(talking_VBG_5_16, 've_VBP_2_2); advmod(talking_VBG_5_16, just_RB_3_6); aux(talking_VBG_5_16, been_VBN_4_11); prep(talking_VBG_5_16, to_IN_6_24); cc(talking_VBG_5_16, and_CC_11_55); conj(talking_VBG_5_16, sense_NN_13_63); pobj(to_IN_6_24, people_NNS_8_36); nn(people_NNS_8_36, business_NN_7_27); prep(people_NNS_8_36, in_IN_9_43); pobj(in_IN_9_43, Brussels_NNP_10_46); det(sense_NN_13_63, the_DT_12_59); prep(sense_NN_13_63, of_IN_14_69); prep(sense_NN_13_63, about_IN_16_85); pobj(of_IN_14_69, bewilderment_NN_15_72); pcomp(about_IN_16_85, happening_VBG_19_98); nsubj(happening_VBG_19_98, what_WP_17_91); aux(happening_VBG_19_98, 's_VBZ_18_95); cc(happening_VBG_19_98, and_CC_20_108); conj(happening_VBG_19_98, means_VBZ_23_120); dobj(means_VBZ_23_120, what_WP_21_112); nsubj(means_VBZ_23_120, it_PRP_22_117); prep(means_VBZ_23_120, for_IN_24_126); pobj(for_IN_24_126, UK_NNP_26_134); det(UK_NNP_26_134, the_DT_25_130); cc(UK_NNP_26_134, and_CC_27_137); conj(UK_NNP_26_134, Europe_NNP_28_141); punct(is_VBZ_29_148, "_``_0_0); csubj(is_VBZ_29_148, talking_VBG_5_16); acomp(is_VBZ_29_148, palpable_JJ_30_151); ccomp(told_VBD_34_170, is_VBZ_29_148); punct(told_VBD_34_170, ,_,_31_159); punct(told_VBD_34_170, "_''_32_160); nsubj(told_VBD_34_170, Lambert_NNP_33_162); dobj(told_VBD_34_170, FT._NNP_36_179); det(FT._NNP_36_179, the_DT_35_175)
